body_site	CK23_FDSW210418084-1r_HMTM7DSX2_L3_2.fq.gz	CK23_FDSW210418084-1r_HMTM7DSX2_L3_1.fq.gz	CK23_FDSW210418084-1r_HMLYTDSX2_L2_2.fq.gz	CK23_FDSW210418084-1r_HMLYTDSX2_L2_1.fq.gz
Methanobrevibacter_smithii	2.21288	2.17749	2.50853	2.47256
Alloscardovia_omnicolens	0	0	0.00351	0.0034
Bifidobacterium_dentium	0	0	0.01967	0.02118
Collinsella_aerofaciens	0.29813	0.28652	0.43597	0.5
Slackia_isoflavoniconvertens	0.12816	0.07952	0.14064	0.15512
Bacteroidetes_bacterium_oral_taxon_272	0	0	0.02176	0.02541
Bacteroides_caccae	5.49162	5.43622	5.46476	5.4603
Bacteroides_cellulosilyticus	0.58393	0.50803	0.62474	0.67513
Bacteroides_coprocola	0	0	0.00761	0.01291
Bacteroides_dorei	2.19241	2.1494	1.93185	2.01491
Bacteroides_eggerthii	0.19834	0.22388	0.21266	0.22534
Bacteroides_finegoldii	1.19714	1.19437	1.39191	1.42222
Bacteroides_intestinalis	0.14342	0.16848	0.19325	0.21886
Bacteroides_ovatus	0.22586	0.25052	0.21892	0.18887
Bacteroides_salyersiae	0.1656	0.16188	0.19685	0.21226
Bacteroides_stercoris	0.64365	0.69887	0.73731	0.69193
Bacteroides_thetaiotaomicron	2.22505	2.2042	2.25854	2.19691
Bacteroides_uniformis	2.1212	2.19863	2.0753	2.19082
Bacteroides_vulgatus	26.70194	26.1209	25.5371	25.50879
Bacteroides_xylanisolvens	0.02501	0.00828	0.01568	0.01982
Barnesiella_intestinihominis	3.14909	3.05646	3.03572	3.04542
Butyricimonas_synergistica	0.31168	0.31565	0.28419	0.26765
Butyricimonas_virosa	2.6617	2.64534	2.59299	2.56486
Odoribacter_splanchnicus	0.69837	0.75808	0.74756	0.75517
Sanguibacteroides_justesenii	0.56665	0.5844	0.53649	0.55264
Prevotella_copri	0	0	0.00968	0.01231
Prevotella_sp_CAG_1058	0.10344	0.09712	0.10163	0.09007
Alistipes_finegoldii	0	0	0.01403	0.01645
Alistipes_indistinctus	0.13535	0.1437	0.18013	0.21245
Alistipes_inops	4.54004	4.43586	4.20884	4.14011
Alistipes_putredinis	2.97333	2.91548	2.84149	2.91097
Alistipes_shahii	0.63813	0.64142	0.58251	0.63265
Parabacteroides_distasonis	2.2464	2.23353	2.14217	2.10162
Parabacteroides_merdae	1.89546	1.89285	1.99479	2.01164
Clostridium_bolteae_CAG_59	0.01878	0.02444	0.06117	0.05748
Clostridium_sp_CAG_58	0	0.01134	0.05774	0.05073
Clostridium_sp_CAG_590	0.41832	0.41813	0.46582	0.44593
Intestinimonas_butyriciproducens	0.0525	0.0554	0.09638	0.09902
Eubacterium_eligens	0.47616	0.49618	0.5186	0.53455
Eubacterium_sp_CAG_180	0.4652	0.50379	0.61849	0.58207
Eubacterium_sp_CAG_251	4.73353	4.86352	5.19003	5.29838
Eubacterium_ventriosum	0.12521	0.10117	0.12565	0.158
Blautia_obeum	0.0142	0.02884	0.05961	0.06078
Ruminococcus_torques	0.00975	0.01842	0.07141	0.07816
Butyrivibrio_crossotus	0.04771	0.05484	0.14344	0.14547
Coprococcus_catus	0.0129	0.0125	0.04468	0.04855
Coprococcus_eutactus	0.28243	0.30169	0.29817	0.28585
Dorea_formicigenerans	0	0	0.0246	0.01592
Dorea_longicatena	0	0.0077	0.05777	0.04006
Eisenbergiella_tayi	1.53569	1.49794	1.3389	1.28909
Clostridium_bolteae	0.29866	0.24401	0.29121	0.29663
Eubacterium_rectale	2.28932	2.25046	2.27578	2.27239
Roseburia_hominis	0.09184	0.08494	0.10423	0.09242
Roseburia_inulinivorans	0.6033	0.59344	0.65917	0.66756
Oscillibacter_sp_57_20	0.04969	0.05735	0.07698	0.07483
Oscillibacter_sp_CAG_241	3.05316	3.12443	2.99085	2.81267
Agathobaculum_butyriciproducens	0	0	0.00496	0
Faecalibacterium_prausnitzii	0.41829	0.51449	0.58478	0.50466
Flavonifractor_plautii	0.17654	0.1718	0.24485	0.22514
Gemmiger_formicilis	0.0181	0.01799	0.01233	0.0393
Clostridium_leptum	0	0	0	0.00099
Eubacterium_siraeum	0.08554	0.09327	0.13369	0.13732
Ruminococcaceae_bacterium_D5	1.7785	1.7756	1.639	1.61569
Ruminococcus_bromii	0.67891	0.60078	0.65418	0.64225
Ruminococcus_obeum_CAG_39	0.00648	0.03137	0.08981	0.05935
Ruminococcus_sp_CAG_488	0.5813	0.57027	0.62031	0.61542
Ruminococcus_sp_CAG_579	0	0	0.00915	0.01231
Ruthenibacterium_lactatiformans	0.52709	0.50512	0.51162	0.49606
Catenibacterium_mitsuokai	0	0	0	0.02782
Clostridium_innocuum	0.41929	0.40036	0.50239	0.52642
Holdemanella_biformis	0.28472	0.24023	0.268	0.31613
Firmicutes_bacterium_CAG_110	0.29939	0.40755	0.3992	0.38235
Firmicutes_bacterium_CAG_238	0.1914	0.2349	0.25061	0.20862
Firmicutes_bacterium_CAG_791	0.62229	0.68913	0.70278	0.74354
Firmicutes_bacterium_CAG_83	0.00822	0.00787	0.05047	0.0427
Firmicutes_bacterium_CAG_95	0	0	0	0.00675
Phascolarctobacterium_faecium	0.51755	0.51956	0.6966	0.70193
Victivallis_vadensis	0.0486	0.02761	0.0575	0.05581
Bilophila_wadsworthia	0.23941	0.22921	0.19897	0.14745
Citrobacter_freundii	0	0	0.23707	0.24904
Citrobacter_youngae	0	0	0	0.0224
Enterobacter_cloacae_complex	0	0	0.06197	0.06513
Escherichia_coli	2.06382	2.26596	1.80032	1.65545
Klebsiella_pneumoniae	1.84712	2.45996	1.75729	1.82724
Klebsiella_quasipneumoniae	0	0.09142	0.10324	0.2047
Klebsiella_variicola	0.74704	0.41727	0.41564	0.509
Raoultella_ornithinolytica	0	0.00677	0.01728	0.01463
Cloacibacillus_evryensis	5.24634	5.21527	4.89213	4.92588
Akkermansia_muciniphila	4.14169	4.16866	4.24441	4.08123
