clade_name	CK25_FDSW210418094-1r_HMTM7DSX2_L3_2.fq.gz	CK25_FDSW210418094-1r_HMTM7DSX2_L3_1.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_2.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz
k__Bacteria	99.6386	99.58463	99.64118	99.64519
k__Bacteria|p__Actinobacteria	0.10206	0.05922	0.16855	0.14678
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0117	0.01199	0.0384	0.03244
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0117	0.01199	0.0384	0.03244
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0117	0.01199	0.0384	0.03244
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0117	0.01199	0.03351	0.03095
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.0117	0.01199	0.03294	0.03095
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0.00057	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0.0049	0.00149
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0	0	0.0049	0.00149
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.09036	0.04723	0.13014	0.11435
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.09036	0.04723	0.11604	0.10158
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.09036	0.04723	0.11604	0.10158
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.09036	0.04723	0.11604	0.10158
